photon_energy_ev,v0,v1,v2
1.800000000000000044e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000044e+00,7.816380786650910517e-01,2.183619213349089205e-01,0.000000000000000000e+00
2.049999999999999822e+00,7.238893481070544089e-01,2.511298257424494085e-01,2.498082615049633179e-02
2.174999999999999822e+00,7.089613737922294545e-01,2.616249506041140593e-01,2.941367560365655207e-02
2.299999999999999822e+00,7.017816680171622412e-01,2.668188920143471643e-01,3.139943996849058755e-02
