eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,2.396109736372096233e-01,1.848566686960263290e-06,1.312587811592354998e-06,1.873956796747370282e-05
1.000000000000000021e-02,1.000000000000000021e-02,4.792175991021689896e-01,6.343780145885911351e-05,3.261017583513086028e-05,5.389220115931688633e-04
1.000000000000000056e-01,1.000000000000000056e-01,1.265425232416763413e+00,3.990207414761201901e-03,6.469217439544898722e-04,2.213378066269754141e-02
2.999999999999999889e-01,2.999999999999999889e-01,1.721910618815163163e+00,3.636766432116942532e-02,1.857787172786412849e-03,1.679002775033650308e-01
