eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,6.887528335487509701e-02,2.387888619580292369e-07,2.157085492422280448e-07,2.807352162290937510e-06
1.000000000000000021e-02,1.000000000000000021e-02,3.739725818627198106e-01,1.118162439151142397e-05,6.616444927620386311e-06,1.022672781314133830e-04
1.000000000000000056e-01,1.000000000000000056e-01,1.409941051077005181e+00,1.419405796593470109e-03,1.737663027190758565e-04,7.401334270890974447e-03
2.999999999999999889e-01,2.999999999999999889e-01,1.819131517743921345e+00,1.933749507595367359e-02,6.203228481906956047e-04,8.619751449987257674e-02
