eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,1.438570727079072076e-01,6.221245484745776798e-07,5.047623991221974152e-07,6.834636801182544650e-06
1.000000000000000021e-02,1.000000000000000021e-02,4.206276565834263237e-01,2.583557070592228458e-05,1.436125280970863820e-05,2.285323357035706413e-04
1.000000000000000056e-01,1.000000000000000056e-01,1.329444678493444609e+00,2.332353133505758649e-03,3.356962755424322607e-04,1.258206050128259437e-02
2.999999999999999889e-01,2.999999999999999889e-01,1.770983420384931950e+00,2.616662206450336148e-02,1.081311104427371862e-03,1.186652609212433679e-01
