eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,1.179177061181837030e-02,3.678713605415132645e-03,3.614404107786880430e-03,4.568932056225209065e-02
1.000000000000000021e-02,1.000000000000000021e-02,1.166149219861677133e-01,1.345943294137239565e-01,1.135095665532517978e-01,1.514722929723619549e+00
1.000000000000000056e-01,1.000000000000000056e-01,9.238823468259987903e-01,1.198893318306291356e+01,3.352986387733724705e+00,7.830903895849471041e+01
2.999999999999999889e-01,2.999999999999999889e-01,1.582382172957623068e+00,1.863495324113554830e+02,1.506804213778747581e+01,9.068128306553553557e+02
