eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,9.657418069175300115e-03,9.520957393872602235e-06,9.384354823051198495e-06,1.184994801937156741e-04
1.000000000000000056e-01,1.000000000000000056e-01,8.406658443119285895e-01,1.732041832706265883e-02,5.454589332284719844e-03,1.182478593636158981e-01
2.999999999999999889e-01,2.999999999999999889e-01,1.658264846522488956e+00,1.545814369426673218e-01,9.936164025846194042e-03,7.307502219964808754e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.884257201625827216e+00,3.764530264278238003e-01,7.553370536896253373e-03,1.640161718699206794e+00
