eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,5.914154568719043326e-02,1.131706312482276216e-05,1.036916063449896329e-05,1.342732801594986479e-04
1.000000000000000056e-01,1.000000000000000056e-01,7.552318741735180030e-01,1.490803866150804992e-02,5.286210790005173646e-03,1.067323022731213322e-01
2.999999999999999889e-01,2.999999999999999889e-01,1.638026776463645362e+00,1.409115938889713981e-01,9.667495479710798770e-03,6.712393249634197590e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.879338716542150012e+00,3.559710983840814191e-01,7.458644819756655303e-03,1.553573646822247634e+00
