eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,-1.539855998421255253e-04,2.547407645710787483e-01,2.547996132470825015e-01,3.201659867700610285e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.896291453124564749e-02,2.132323530696051535e+02,2.042293603523241359e+02,2.604133480228726057e+03
2.999999999999999889e-01,2.999999999999999889e-01,2.676843405035040924e-01,1.012340244040983066e+03,6.916914571943675583e+02,1.003518169941031738e+04
5.000000000000000000e-01,5.000000000000000000e-01,5.633534491312544024e-01,2.164804094404134958e+03,9.946753682797956344e+02,1.740088306510692200e+04
