eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,4.166016307471901922e-03,9.623841055751244147e-06,9.563950940778710160e-06,1.204350191863348208e-04
1.000000000000000056e-01,1.000000000000000056e-01,8.800838291397340418e-01,1.901918291405847034e-02,5.664611910350162392e-03,1.271231088614309668e-01
2.999999999999999889e-01,2.999999999999999889e-01,1.666635982523596793e+00,1.629393281218596556e-01,1.018476263419436888e-02,7.678423295316969543e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.886439926734645667e+00,3.882278706072583851e-01,7.636948377388794000e-03,1.690184250740093042e+00
