eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,2.821119658583808032e-02,1.004810162495335543e-05,9.634564545415669215e-06,1.228037288537416256e-04
1.000000000000000056e-01,1.000000000000000056e-01,7.989371303707666350e-01,1.596561146937969938e-02,5.329731318305273510e-03,1.115268496168837081e-01
2.999999999999999889e-01,2.999999999999999889e-01,1.648742880624274099e+00,1.472758807645795087e-01,9.765330944220721593e-03,6.987176119592574119e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.881882298506577733e+00,3.657245795491116946e-01,7.494849241132303837e-03,1.594732238640151678e+00
