eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-03,1.000000000000000021e-03,1.011809913519585852e-01,1.360685011748845543e-05,1.173147096336588102e-05,1.552775818082980969e-04
1.000000000000000056e-01,1.000000000000000056e-01,7.099945244920664589e-01,1.411702904348413092e-02,5.324883940610403675e-03,1.037429163621377409e-01
2.999999999999999889e-01,2.999999999999999889e-01,1.626066847882278621e+00,1.353959422205615881e-01,9.639707286833137934e-03,6.479026194615017387e-01
5.000000000000000000e-01,5.000000000000000000e-01,1.876660350111091669e+00,3.471210405344117844e-01,7.441578496907786527e-03,1.516359636697796498e+00
