eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,1.334931733655324998e-02,1.206792379473141429e-03,1.182945931623454730e-03,1.496522476070043413e-02
3.584210526315789735e-02,3.584210526315789735e-02,8.457670529687810745e-02,7.889893281083602827e-03,6.966997036494749877e-03,9.141568557910299819e-02
6.168421052631579277e-02,6.168421052631579277e-02,1.576982180290473212e-01,1.732268865260954208e-02,1.378322073759546441e-02,1.880311485807122651e-01
8.752631578947368818e-02,8.752631578947368818e-02,2.322998262778625533e-01,2.853722919452040402e-02,2.046793480328204864e-02,2.910082357541398657e-01
1.133684210526315767e-01,1.133684210526315767e-01,3.079851087817191968e-01,4.103935869507791684e-02,2.654434120538160663e-02,3.942826165798780647e-01
1.392105263157894790e-01,1.392105263157894790e-01,3.843483965078426379e-01,5.450427380250147391e-02,3.180554750102179695e-02,4.947604998832103584e-01
1.650526315789473952e-01,1.650526315789473952e-01,4.609766462253207520e-01,6.869413207119351439e-02,3.618191769115518264e-02,5.908622323763145223e-01
1.908947368421052837e-01,1.908947368421052837e-01,5.374560642636330154e-01,8.342398699154292274e-02,3.967958795878441525e-02,6.818645182978346764e-01
2.167368421052631722e-01,2.167368421052631722e-01,6.133799977599451170e-01,9.854455486625395000e-02,4.234707603884695776e-02,7.675485007845327390e-01
2.425789473684210606e-01,2.425789473684210606e-01,6.883569392360363581e-01,1.139323346596762404e-01,4.425561700851637914e-02,8.479936374949995637e-01
2.684210526315789491e-01,2.684210526315789491e-01,7.620180284401827375e-01,1.294834276281486285e-01,4.548709106039097727e-02,9.234506762869411078e-01
2.942631578947368376e-01,2.942631578947368376e-01,8.340236414431532186e-01,1.451094111842834988e-01,4.612648905437333885e-02,9.942612512553388182e-01
3.201052631578947816e-01,3.201052631578947816e-01,9.040687862590351953e-01,1.607344400551197483e-01,4.625722853365898946e-02,1.060806499639423306e+00
3.459473684210526701e-01,3.459473684210526701e-01,9.718871336106703618e-01,1.762931237748001645e-01,4.595831721792260904e-02,1.123474408020877613e+00
3.717894736842105585e-01,3.717894736842105585e-01,1.037253611942830167e+00,1.917289184201439733e-01,4.530273565672324199e-02,1.182639526190407020e+00
3.976315789473684470e-01,3.976315789473684470e-01,1.099985586170944440e+00,2.069928722712048863e-01,4.435663030993679951e-02,1.238650952949412298e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.159942715965897486e+00,2.220426231170229137e-01,4.317904394795051004e-02,1.291825877440094139e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.217025648197791909e+00,2.368415796074123392e-01,4.182199750906550467e-02,1.342446835766813784e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.271173737788122704e+00,2.513582406043594064e-01,4.033079546663007053e-02,1.390761418139608185e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.322362011872226573e+00,2.655656203360895473e-01,3.874446614276449985e-02,1.436983549728813037e+00
