eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-7.841915148394305868e-02,2.137594764317916722e-03,2.410433063699215627e-03,2.914753282361061057e-02
3.584210526315789735e-02,3.584210526315789735e-02,-1.233546288601318486e-02,1.204793872154619541e-02,1.227364830516685691e-02,1.532897633000314119e-01
6.168421052631579277e-02,6.168421052631579277e-02,5.516760717159247679e-02,2.478674871901465418e-02,2.284285050734997241e-02,2.951943071518849937e-01
8.752631578947368818e-02,8.752631578947368818e-02,1.243809163740259571e-01,3.912647828341982159e-02,3.263412259793612574e-02,4.372875951414424422e-01
1.133684210526315767e-01,1.133684210526315767e-01,1.951065620386341348e-01,5.449582339982944612e-02,4.115078821208663362e-02,5.730156084230301206e-01
1.392105263157894790e-01,1.392105263157894790e-01,2.670532942416736222e-01,7.054291434440637665e-02,4.824071393969865673e-02,6.996299286679588114e-01
1.650526315789473952e-01,1.650526315789473952e-01,3.398905946931673472e-01,8.702347928389664311e-02,5.391055695663128644e-02,8.161631234398495360e-01
1.908947368421052837e-01,1.908947368421052837e-01,4.132669121888998820e-01,1.037562176098729555e-01,5.824569376379376551e-02,9.225710110274552012e-01
2.167368421052631722e-01,2.167368421052631722e-01,4.868203855639348654e-01,1.206008603132127516e-01,6.136947175370757734e-02,1.019299386678488073e+00
2.425789473684210606e-01,2.425789473684210606e-01,5.601874313646291181e-01,1.374459019446392649e-01,6.342069329267219224e-02,1.107044005443949874e+00
2.684210526315789491e-01,2.684210526315789491e-01,6.330104506261371444e-01,1.542010987306800252e-01,6.454070468011523232e-02,1.186610995078527298e+00
2.942631578947368376e-01,2.942631578947368376e-01,7.049448793654311540e-01,1.707925642049675508e-01,6.486596356190571511e-02,1.258834045576401994e+00
3.201052631578947816e-01,3.201052631578947816e-01,7.756655111695298643e-01,1.871593903522650038e-01,6.452389120455392924e-02,1.324525507946036740e+00
3.459473684210526701e-01,3.459473684210526701e-01,8.448719473178389894e-01,2.032512183621560942e-01,6.363075345508123482e-02,1.384448466177943260e+00
3.717894736842105585e-01,3.717894736842105585e-01,9.122930391591953514e-01,2.190264289265616837e-01,6.229081173047456427e-02,1.439302044126534064e+00
3.976315789473684470e-01,3.976315789473684470e-01,9.776902304443588765e-01,2.344507528396307383e-01,6.059626816626800805e-02,1.489715126082385988e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.040859762931573895e+00,2.494961763933969401e-01,5.862769851219118422e-02,1.536245398322390709e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.101633765479961724e+00,2.641400596337640239e-01,5.645477215315168606e-02,1.579381687702742232e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.159880298071773064e+00,2.783644123293105288e-01,5.413712679408756029e-02,1.619548256586841539e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.215502463522359022e+00,2.921552895391302807e-01,5.172531032711411708e-02,1.657110161573544627e+00
