eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-2.900900302796636382e-03,1.328336459897354630e-03,1.334133333507864705e-03,1.674093203043218459e-02
3.584210526315789735e-02,3.584210526315789735e-02,6.710115285112716599e-02,8.492170591787166420e-03,7.691167188227650102e-03,1.000052925550980604e-01
6.168421052631579277e-02,6.168421052631579277e-02,1.389086179598735260e-01,1.846162321463449413e-02,1.508407580793226337e-02,2.036999244709620516e-01
8.752631578947368818e-02,8.752631578947368818e-02,2.122307311691022103e-01,3.021523501724800512e-02,2.228035770147617639e-02,3.132207686737280006e-01
1.133684210526315767e-01,1.133684210526315767e-01,2.867085673554699010e-01,4.323850759940398025e-02,2.878669129508043545e-02,4.222798581520504912e-01
1.392105263157894790e-01,1.392105263157894790e-01,3.619602296605625713e-01,5.719648604296704436e-02,3.439532110471195392e-02,5.277336487527819475e-01
1.650526315789473952e-01,1.650526315789473952e-01,4.375911982589494320e-01,7.184581776061163549e-02,3.904188415086670694e-02,6.280235815056290916e-01
1.908947368421052837e-01,1.908947368421052837e-01,5.132026522253320122e-01,8.699856402721535542e-02,4.274022189481562622e-02,7.224783784744823745e-01
2.167368421052631722e-01,2.167368421052631722e-01,5.883996377750042583e-01,1.025039609221065490e-01,4.554729959830119274e-02,8.109437522859971326e-01
2.425789473684210606e-01,2.425789473684210606e-01,6.627990174033517867e-01,1.182379964909164166e-01,4.754271665820921505e-02,8.935670932284013324e-01
2.684210526315789491e-01,2.684210526315789491e-01,7.360368953615246124e-01,1.340969103561949483e-01,4.881622838463550024e-02,9.706657031765011379e-01
2.942631578947368376e-01,2.942631578947368376e-01,8.077752149949959382e-01,1.499928661303251698e-01,4.946002442427729906e-02,1.042643980108359125e+00
3.201052631578947816e-01,3.201052631578947816e-01,8.777072803787910882e-01,1.658509192225004203e-01,4.956397653960969291e-02,1.109940904772787729e+00
3.459473684210526701e-01,3.459473684210526701e-01,9.455620316680880544e-01,1.816068024551294735e-01,4.921279936056806997e-02,1.172996979069954149e+00
3.717894736842105585e-01,3.717894736842105585e-01,1.011106987060312656e+00,1.972052524002071427e-01,4.848446588578331218e-02,1.232233941159753599e+00
3.976315789473684470e-01,3.976315789473684470e-01,1.074149845500434575e+00,2.125987072151150348e-01,4.744945172320262639e-02,1.288042979534195220e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.134538816577132847e+00,2.277462681815896617e-01,4.617052481075311493e-02,1.340778621489956635e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.192161802691491967e+00,2.426128538052464978e-01,4.470288876972220576e-02,1.390756390783224772e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.246944600826772165e+00,2.571684980821075106e-01,4.309454846077250684e-02,1.438252930690312237e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.298848316408750536e+00,2.713877591383462851e-01,4.138680722596971284e-02,1.483507692608682316e+00
