eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,2.384499849239149483e-02,1.128482830632381115e-03,1.089059864116831769e-03,1.385066440969970163e-02
3.584210526315789735e-02,3.584210526315789735e-02,9.638317800897482079e-02,7.476230839955050334e-03,6.490376301591716836e-03,8.569001186609584431e-02
6.168421052631579277e-02,6.168421052631579277e-02,1.708227025531715293e-01,1.651191903903606942e-02,1.289829253294359768e-02,1.772214475738673467e-01
8.752631578947368818e-02,8.752631578947368818e-02,2.467137681741889133e-01,2.731000312167329927e-02,1.920338640940543601e-02,2.752737873496420296e-01
1.133684210526315767e-01,1.133684210526315767e-01,3.236402642499497384e-01,3.939455592922241206e-02,2.494614630241834968e-02,3.740038765557128775e-01
1.392105263157894790e-01,1.392105263157894790e-01,4.011783408654808203e-01,5.245110423465198374e-02,2.992479938138538700e-02,4.704040847062300745e-01
1.650526315789473952e-01,1.650526315789473952e-01,4.788977259630373129e-01,6.624832632402168076e-02,3.406945526168547039e-02,5.629199413546669417e-01
1.908947368421052837e-01,1.908947368421052837e-01,5.563688455650880327e-01,8.060560242487319060e-02,3.738341306886395349e-02,6.508225068568965765e-01
2.167368421052631722e-01,2.167368421052631722e-01,6.331712988994905311e-01,9.537657091128158571e-02,3.991113321117411433e-02,7.338711737130727553e-01
2.425789473684210606e-01,2.425789473684210606e-01,7.089023613352948283e-01,1.104396880279831933e-01,4.171929995941391772e-02,8.121154734723573521e-01
2.684210526315789491e-01,2.684210526315789491e-01,7.831848475312318536e-01,1.256923161508695652e-01,4.288515434981964025e-02,8.857725716522306669e-01
2.942631578947368376e-01,2.942631578947368376e-01,8.556739059151459159e-01,1.410467733213833230e-01,4.348918812826989277e-02,9.551495129969558295e-01
3.201052631578947816e-01,3.201052631578947816e-01,9.260624614922632336e-01,1.564275556055513272e-01,4.361058568465401436e-02,1.020593400960964514e+00
3.459473684210526701e-01,3.459473684210526701e-01,9.940851456742380021e-01,1.717693019002430321e-01,4.332445198577487139e-02,1.082459649494238452e+00
3.717894736842105585e-01,3.717894736842105585e-01,1.059520661998268443e+00,1.870152508429112903e-01,4.270022208427760174e-02,1.141092194894107736e+00
3.976315789473684470e-01,3.976315789473684470e-01,1.122192633826497588e+00,2.021160365735185371e-01,4.180085796597216713e-02,1.196811723028465169e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.181969060147503470e+00,2.170287255077650579e-01,4.068256868181826386e-02,1.249909289964100223e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.238760565093980581e+00,2.317160294148959965e-01,3.939487367266923667e-02,1.300643556222859987e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.292517664448832759e+00,2.461456506992210358e-01,3.798088506426280930e-02,1.349240409252273176e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.343227289106468270e+00,2.602897290343786918e-01,3.647772278651630756e-02,1.395894123187854996e+00
