eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-2.751287728648225614e-02,2.559611957853724107e+01,2.668233894411007867e+01,3.307502149908754063e+02
1.327500000000000069e-01,1.327500000000000069e-01,-3.390692099935176396e-01,5.605870041756545561e+02,9.919736081420268192e+02,1.065852001840539924e+04
2.555000000000000049e-01,2.555000000000000049e-01,-5.858370057787499752e-01,6.581594393577615847e+02,2.054617454649662250e+03,1.996961475000879727e+04
3.782499999999999751e-01,3.782499999999999751e-01,-7.603169823188374865e-01,5.030810693113752450e+02,2.896874448048241902e+03,2.637609968030586606e+04
5.010000000000000009e-01,5.010000000000000009e-01,-8.717001363142758974e-01,3.116039241214892854e+02,3.487271948969781079e+03,3.052014462767502482e+04
