eKE_ev,photon_energy_ev,beta,sigma_parallel,sigma_perpendicular,sigma_total
1.000000000000000021e-02,1.000000000000000021e-02,-2.418922467597464307e-02,1.506676104054733558e-03,1.562699250729046759e-03,1.940278873541191607e-02
3.584210526315789735e-02,3.584210526315789735e-02,4.457753748883033079e-02,9.330138408745324019e-03,8.732890363820366292e-03,1.122424836067421050e-01
6.168421052631579277e-02,6.168421052631579277e-02,1.150205482537183660e-01,2.000152052461389926e-02,1.690661900878245860e-02,2.254187334544233701e-01
8.752631578947368818e-02,8.752631578947368818e-02,1.870280741608267849e-01,3.243579790062903201e-02,2.476992426131376102e-02,3.433787847687695405e-01
1.133684210526315767e-01,1.133684210526315767e-01,2.602899039274407800e-01,4.609723166344198431e-02,3.181641742743930579e-02,4.596362278025004078e-01
1.392105263157894790e-01,1.392105263157894790e-01,3.344513709757482300e-01,6.064189231206768005e-02,3.784402444277461947e-02,5.710575223076823637e-01
1.650526315789473952e-01,1.650526315789473952e-01,4.091371613440820676e-01,7.582273509802302247e-02,4.280050760908250124e-02,6.761702241443323658e-01
1.908947368421052837e-01,1.908947368421052837e-01,4.839626831452065736e-01,9.145082170289443868e-02,4.671372802474168390e-02,7.744163189269378522e-01
2.167368421052631722e-01,2.167368421052631722e-01,5.585430308558532175e-01,1.073758916839551714e-01,4.965462111781093757e-02,8.657606644372877192e-01
2.425789473684210606e-01,2.425789473684210606e-01,6.325011466784350445e-01,1.234753186444796230e-01,5.171584626552814395e-02,9.504658658094409240e-01
2.684210526315789491e-01,2.684210526315789491e-01,7.054753482539376508e-01,1.396472566736941257e-01,5.299895319445274700e-02,1.028956052889772987e+00
2.942631578947368376e-01,2.942631578947368376e-01,7.771260768029920607e-01,1.558060993273656936e-01,5.360655567140164973e-02,1.101732293325851986e+00
3.201052631578947816e-01,3.201052631578947816e-01,8.471416692251751979e-01,1.718793125690142587e-01,5.363760145862488810e-02,1.169319700090753589e+00
3.459473684210526701e-01,3.459473684210526701e-01,9.152429896453535552e-01,1.878051322859239924e-01,5.318461806913107881e-02,1.232234712954453748e+00
3.717894736842105585e-01,3.717894736842105585e-01,9.811868176609126468e-01,2.035308316391887251e-01,5.233224157307442281e-02,1.290965515733880187e+00
3.976315789473684470e-01,3.976315789473684470e-01,1.044767961105742993e+00,2.190113787062443751e-01,5.115658348575553155e-02,1.345961109492419094e+00
4.234736842105263355e-01,4.234736842105263355e-01,1.105820129310143951e+00,2.342083703238509174e-01,4.972514208971620664e-02,1.397626103725559732e+00
4.493157894736842239e-01,4.493157894736842239e-01,1.164215661711559102e+00,2.490891670116029410e-01,4.809706082178740599e-02,1.446319257395240365e+00
4.751578947368421124e-01,4.751578947368421124e-01,1.219864252177667030e+00,2.636261779946995620e-01,4.632359958805670752e-02,1.492354432519268581e+00
5.010000000000000009e-01,5.010000000000000009e-01,1.272710839725699650e+00,2.777962608057700233e-01,4.444872742217252648e-02,1.536003044271928131e+00
