eKE,SigmaPar,SigmaPerp,Beta
0.05,0.151066,0.00233553,1.91002
0.1,0.290719,0.0045685,1.90859
0.2,0.538431,0.00870541,1.90603
0.5,1.07095,0.0188012,1.89824
